user_id,full_name,version,insurance_company
5d76ab48-8ab5-4078-8ff4-799c2c53a91f,Dorolisa Leng,8.64,Cardinal Health
867ea93e-0943-4554-b67d-7bd5a86b09e5,Opaline Wheeler,0.2.7,STAT Rx USA LLC
b9b73ccf-0220-4820-8583-3f93b6190dee,Florella Da Costa,0.4.5,"Blu Pharmaceuticals, LLC"
107ad123-6c51-4b0a-93fc-882e9a9906da,Anne Betje,1.68,Jafra Cosmetics International Inc
ade4d7ba-528b-44e3-8e32-76f985da453d,Walton De Blasi,0.97,"Antigen Laboratories, Inc."
0d1dc9ee-72ab-4b94-ba8e-c04028655e7e,Maurise Coleford,7.9,"Caraco Pharmaceutical Laboratories, Ltd."
67f7867f-1f46-442f-874b-bab302b3d464,Rey Crummey,0.59,King Bio Inc.
f9ff8dde-f54f-4a22-9f8d-0cd398a4a3b7,Jemima Siss,5.97,Select Brand
8b51b303-9e3d-4f16-8571-f159878ea797,Waylon Keary,0.4.7,REMEDYREPACK INC.
b6952a6b-ffce-4413-8b96-860ddb6f143b,Bonnie McKibben,0.3.9,McKesson Contract Packaging
8e50b96b-c18b-4859-a01c-b9af8eb5aba0,Cally Didball,9.6,Bryant Ranch Prepack
14bb77c5-c42d-4de9-83db-71349ccf4162,Judie Tutchell,0.43,Cardinal Health
f7990ed4-21ab-4bed-8237-29b3e3307663,Aksel Maffezzoli,0.5.3,"Avon Products, Inc."
71316ed1-6888-4f6c-9ef7-eba3254d07e2,Alonso Hargate,0.72,"Claris Lifesciences, Inc"
ca3eb715-efc9-4111-b70c-2de125f6db89,Brennan Cornwall,0.3.9,"UCB, Inc."
fd0d6430-1efd-49b1-a8e7-c79f4b1ccf77,Terese Haffenden,0.67,Dynarex Corporation
da022b97-7b28-4143-828f-eee1823bd7fd,Gradeigh Conquer,0.9.9,"Genuine First Aid, LLC"
b8f4ef90-b8bb-4d26-a8a3-e3bece12a2ff,Abby Pude,5.41,Cardinal Health
d9804eb0-8448-4714-b022-751d0939d3d8,Doreen Hindshaw,0.68,"McNeil Consumer Healthcare Div McNeil-PPC, Inc"
40017376-e725-4c45-8651-fad58bd151bd,Sigfrid Shortland,0.7.6,REMEDYREPACK INC.
abc2cf8f-3458-4342-8681-e81aa3649d3b,Rosemary Andrioli,2.29,"SHISEIDO CO., LTD."
3449529b-c8a0-4fa0-b85d-bffb66282faa,Carolus Coggill,7.8,State of Florida DOH Central Pharmacy
